Title,US Gross,Worldwide_Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes,Year,ipc,Worldwide_Gross_2022
The Shawshank Redemption,28241469.0,28241469.0,,25000000.0,Sep 23 1994,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88.0,9.2,519541.0,1994,121.59967751246265,62583004
Inception,285630280.0,753830280.0,,160000000.0,Jul 16 2010,PG-13,147.0,Warner Bros.,Original Screenplay,Thriller/Suspense,Science Fiction,Christopher Nolan,87.0,9.1,188247.0,2010,40.33870184138514,1057915629
Toy Story 3,410640665.0,1046340665.0,,200000000.0,Jun 18 2010,G,102.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,99.0,8.9,67380.0,2010,40.33870184138514,1468420906
Schindler's List,96067179.0,321200000.0,,25000000.0,Dec 15 1993,R,,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97.0,8.9,276283.0,1993,128.7442645812252,734726577
Pulp Fiction,107928762.0,212928762.0,,8000000.0,Oct 14 1994,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94.0,8.9,417703.0,1994,121.59967751246265,471849449
The Dark Knight,533345358.0,1022345358.0,234119058.0,185000000.0,Jul 18 2008,PG-13,152.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,93.0,8.9,465000.0,2008,52.14910375394574,1555489299
Fight Club,37030102.0,100853753.0,,65000000.0,Oct 15 1999,R,139.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81.0,8.8,382470.0,1999,85.09684392793558,186677113
The Lord of the Rings: The Return of the King,377027325.0,1133027325.0,,94000000.0,Dec 17 2003,PG-13,201.0,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.8,364077.0,2003,71.87681043195516,1947411227
Goodfellas,46743809.0,46743809.0,,25000000.0,Sep 19 1990,,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Martin Scorsese,97.0,8.8,229156.0,1990,153.4407727489265,118467870
The Lord of the Rings: The Fellowship of the Ring,314776170.0,868621686.0,,109000000.0,Dec 19 2001,PG-13,178.0,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.8,387438.0,2001,78.62138162280266,1551544056
